timestamp,target,node_id,up,scrape_duration_s,scrape_samples_scraped,dcgm_gpu_metric_count,dcgm_metric_families_count
t0006,dcgm-gpu-node-10:9400,gpu-node-10,1,0.389,833,93,74
t0006,dcgm-gpu-node-11:9400,gpu-node-11,1,0.492,796,95,73
t0007,dcgm-gpu-node-00:9400,gpu-node-00,1,0.459,797,97,74
t0007,dcgm-gpu-node-01:9400,gpu-node-01,1,0.372,826,97,75
t0007,dcgm-gpu-node-02:9400,gpu-node-02,1,0.467,836,97,74
t0007,dcgm-gpu-node-03:9400,gpu-node-03,1,0.405,822,98,75
t0007,dcgm-gpu-node-04:9400,gpu-node-04,1,0.372,822,99,74
t0007,dcgm-gpu-node-05:9400,gpu-node-05,1,0.407,834,95,77
t0007,dcgm-gpu-node-06:9400,gpu-node-06,1,0.437,829,100,74
t0007,dcgm-gpu-node-07:9400,gpu-node-07,1,0.458,812,96,69
t0007,dcgm-gpu-node-08:9400,gpu-node-08,1,0.476,825,97,75
t0007,dcgm-gpu-node-09:9400,gpu-node-09,1,0.411,819,96,74
t0007,dcgm-gpu-node-10:9400,gpu-node-10,1,0.417,831,98,75
t0007,dcgm-gpu-node-11:9400,gpu-node-11,1,0.449,810,96,74
t0008,dcgm-gpu-node-00:9400,gpu-node-00,1,0.366,811,100,74
t0008,dcgm-gpu-node-01:9400,gpu-node-01,1,0.478,802,98,74
t0008,dcgm-gpu-node-02:9400,gpu-node-02,1,0.458,830,99,74
t0008,dcgm-gpu-node-03:9400,gpu-node-03,1,0.389,808,93,75
t0008,dcgm-gpu-node-04:9400,gpu-node-04,1,0.473,802,96,75
t0008,dcgm-gpu-node-05:9400,gpu-node-05,1,0.402,808,96,79
t0008,dcgm-gpu-node-06:9400,gpu-node-06,1,0.449,799,97,77
t0008,dcgm-gpu-node-07:9400,gpu-node-07,1,0.432,824,96,74
t0008,dcgm-gpu-node-08:9400,gpu-node-08,1,0.449,825,96,74
t0008,dcgm-gpu-node-09:9400,gpu-node-09,1,0.459,827,99,74
t0008,dcgm-gpu-node-10:9400,gpu-node-10,1,0.427,847,99,71
t0008,dcgm-gpu-node-11:9400,gpu-node-11,1,0.432,821,97,72
t0009,dcgm-gpu-node-00:9400,gpu-node-00,1,0.385,797,94,74
t0009,dcgm-gpu-node-01:9400,gpu-node-01,1,0.436,823,96,73
t0009,dcgm-gpu-node-02:9400,gpu-node-02,1,0.43,804,95,74
t0009,dcgm-gpu-node-03:9400,gpu-node-03,1,0.437,799,96,75
t0009,dcgm-gpu-node-04:9400,gpu-node-04,1,0.461,829,94,72
t0009,dcgm-gpu-node-05:9400,gpu-node-05,1,0.337,811,92,73
t0009,dcgm-gpu-node-06:9400,gpu-node-06,1,0.386,822,96,73
t0009,dcgm-gpu-node-07:9400,gpu-node-07,1,0.383,817,96,76
t0009,dcgm-gpu-node-08:9400,gpu-node-08,1,0.452,814,91,78
t0009,dcgm-gpu-node-09:9400,gpu-node-09,1,0.377,808,96,74
t0009,dcgm-gpu-node-10:9400,gpu-node-10,1,0.437,822,99,73
t0009,dcgm-gpu-node-11:9400,gpu-node-11,1,0.423,836,96,74
t0010,dcgm-gpu-node-00:9400,gpu-node-00,1,0.424,815,101,75
t0010,dcgm-gpu-node-01:9400,gpu-node-01,1,0.396,819,98,74
t0010,dcgm-gpu-node-02:9400,gpu-node-02,1,0.409,814,101,72
t0010,dcgm-gpu-node-03:9400,gpu-node-03,1,0.368,814,98,76
t0010,dcgm-gpu-node-04:9400,gpu-node-04,1,0.408,831,96,74
t0010,dcgm-gpu-node-05:9400,gpu-node-05,1,0.44,833,96,73
t0010,dcgm-gpu-node-06:9400,gpu-node-06,1,0.41,825,96,75
t0010,dcgm-gpu-node-07:9400,gpu-node-07,1,0.473,822,100,75
t0010,dcgm-gpu-node-08:9400,gpu-node-08,1,0.45,822,96,72
t0010,dcgm-gpu-node-09:9400,gpu-node-09,1,0.395,817,96,72
t0010,dcgm-gpu-node-10:9400,gpu-node-10,1,0.377,814,99,72
t0010,dcgm-gpu-node-11:9400,gpu-node-11,1,0.448,844,95,74
t0011,dcgm-gpu-node-00:9400,gpu-node-00,1,0.417,813,99,74
t0011,dcgm-gpu-node-01:9400,gpu-node-01,1,0.454,828,94,76
t0011,dcgm-gpu-node-02:9400,gpu-node-02,1,0.382,820,98,76
t0011,dcgm-gpu-node-03:9400,gpu-node-03,1,0.355,809,93,74
t0011,dcgm-gpu-node-04:9400,gpu-node-04,1,0.415,833,96,75
t0011,dcgm-gpu-node-05:9400,gpu-node-05,1,0.401,826,97,75
t0011,dcgm-gpu-node-06:9400,gpu-node-06,1,0.427,830,97,74
t0011,dcgm-gpu-node-07:9400,gpu-node-07,1,0.44,815,90,73
t0011,dcgm-gpu-node-08:9400,gpu-node-08,1,0.488,820,91,74
t0011,dcgm-gpu-node-09:9400,gpu-node-09,1,0.432,800,98,74
t0011,dcgm-gpu-node-10:9400,gpu-node-10,1,0.499,814,103,75
t0011,dcgm-gpu-node-11:9400,gpu-node-11,1,0.493,810,94,74
t0012,dcgm-gpu-node-00:9400,gpu-node-00,1,0.469,802,97,74
t0012,dcgm-gpu-node-01:9400,gpu-node-01,1,0.505,812,92,73
t0012,dcgm-gpu-node-02:9400,gpu-node-02,1,0.444,822,92,73
t0012,dcgm-gpu-node-03:9400,gpu-node-03,1,0.374,820,98,74
t0012,dcgm-gpu-node-04:9400,gpu-node-04,1,0.381,838,96,74
t0012,dcgm-gpu-node-05:9400,gpu-node-05,1,0.411,832,96,74
t0012,dcgm-gpu-node-06:9400,gpu-node-06,1,0.401,832,98,77
t0012,dcgm-gpu-node-07:9400,gpu-node-07,1,0.414,827,93,75
t0012,dcgm-gpu-node-08:9400,gpu-node-08,1,0.503,821,99,74
t0012,dcgm-gpu-node-09:9400,gpu-node-09,1,0.503,816,95,76
t0012,dcgm-gpu-node-10:9400,gpu-node-10,1,0.443,822,99,75
t0012,dcgm-gpu-node-11:9400,gpu-node-11,1,0.457,817,101,73
t0013,dcgm-gpu-node-00:9400,gpu-node-00,1,0.329,820,96,74
t0013,dcgm-gpu-node-01:9400,gpu-node-01,1,0.461,829,102,73
t0013,dcgm-gpu-node-02:9400,gpu-node-02,1,0.364,812,93,74
t0013,dcgm-gpu-node-03:9400,gpu-node-03,1,0.433,807,96,75
t0013,dcgm-gpu-node-04:9400,gpu-node-04,1,0.427,828,94,74
t0013,dcgm-gpu-node-05:9400,gpu-node-05,1,0.391,820,99,74
t0013,dcgm-gpu-node-06:9400,gpu-node-06,1,0.435,823,95,74
t0013,dcgm-gpu-node-07:9400,gpu-node-07,1,0.475,840,98,74
t0013,dcgm-gpu-node-08:9400,gpu-node-08,1,0.375,803,91,74
t0013,dcgm-gpu-node-09:9400,gpu-node-09,1,0.411,815,96,74
t0013,dcgm-gpu-node-10:9400,gpu-node-10,1,0.416,821,96,75
t0013,dcgm-gpu-node-11:9400,gpu-node-11,1,0.416,817,95,76
t0014,dcgm-gpu-node-00:9400,gpu-node-00,1,0.472,809,98,74
t0014,dcgm-gpu-node-01:9400,gpu-node-01,1,0.414,835,98,74
t0014,dcgm-gpu-node-02:9400,gpu-node-02,1,0.421,816,95,75
t0014,dcgm-gpu-node-03:9400,gpu-node-03,1,0.399,820,96,77
t0014,dcgm-gpu-node-04:9400,gpu-node-04,1,0.448,820,97,74
t0014,dcgm-gpu-node-05:9400,gpu-node-05,1,0.362,815,93,74
t0014,dcgm-gpu-node-06:9400,gpu-node-06,1,0.339,804,98,76
t0014,dcgm-gpu-node-07:9400,gpu-node-07,1,0.449,820,95,74
t0014,dcgm-gpu-node-08:9400,gpu-node-08,1,0.39,819,94,76
t0014,dcgm-gpu-node-09:9400,gpu-node-09,1,0.425,827,101,73
t0014,dcgm-gpu-node-10:9400,gpu-node-10,1,0.364,819,95,75
t0014,dcgm-gpu-node-11:9400,gpu-node-11,1,0.412,800,99,74
t0015,dcgm-gpu-node-00:9400,gpu-node-00,1,0.373,844,95,73
t0015,dcgm-gpu-node-01:9400,gpu-node-01,1,0.447,830,93,72
t0015,dcgm-gpu-node-02:9400,gpu-node-02,1,0.414,808,96,74
t0015,dcgm-gpu-node-03:9400,gpu-node-03,1,0.45,810,99,75
t0015,dcgm-gpu-node-04:9400,gpu-node-04,1,0.409,816,97,74
t0015,dcgm-gpu-node-05:9400,gpu-node-05,1,0.445,837,96,74
t0015,dcgm-gpu-node-06:9400,gpu-node-06,1,0.43,827,94,74
t0015,dcgm-gpu-node-07:9400,gpu-node-07,1,0.442,812,91,74
t0015,dcgm-gpu-node-08:9400,gpu-node-08,1,0.388,814,95,76
t0015,dcgm-gpu-node-09:9400,gpu-node-09,1,0.379,817,96,70
t0015,dcgm-gpu-node-10:9400,gpu-node-10,1,0.375,811,94,73
t0015,dcgm-gpu-node-11:9400,gpu-node-11,1,0.387,827,94,73
t0016,dcgm-gpu-node-00:9400,gpu-node-00,1,0.448,831,92,70
t0016,dcgm-gpu-node-01:9400,gpu-node-01,1,0.44,819,94,75
t0016,dcgm-gpu-node-02:9400,gpu-node-02,1,0.344,821,99,75
t0016,dcgm-gpu-node-03:9400,gpu-node-03,1,0.446,819,97,74
t0016,dcgm-gpu-node-04:9400,gpu-node-04,1,0.358,824,96,74
t0016,dcgm-gpu-node-05:9400,gpu-node-05,1,0.306,820,93,72
t0016,dcgm-gpu-node-06:9400,gpu-node-06,1,0.457,812,95,74
t0016,dcgm-gpu-node-07:9400,gpu-node-07,1,0.416,809,95,74
t0016,dcgm-gpu-node-08:9400,gpu-node-08,1,0.444,815,97,71
t0016,dcgm-gpu-node-09:9400,gpu-node-09,1,0.465,803,94,74
t0016,dcgm-gpu-node-10:9400,gpu-node-10,1,0.401,829,101,74
t0016,dcgm-gpu-node-11:9400,gpu-node-11,1,0.41,814,94,76
t0017,dcgm-gpu-node-00:9400,gpu-node-00,1,0.469,830,90,75
t0017,dcgm-gpu-node-01:9400,gpu-node-01,1,0.473,821,90,75
t0017,dcgm-gpu-node-02:9400,gpu-node-02,1,0.487,843,93,73
t0017,dcgm-gpu-node-03:9400,gpu-node-03,1,0.477,802,92,74
t0017,dcgm-gpu-node-04:9400,gpu-node-04,1,0.386,833,96,75
t0017,dcgm-gpu-node-05:9400,gpu-node-05,1,0.454,815,96,73
t0017,dcgm-gpu-node-06:9400,gpu-node-06,1,0.479,807,88,75
t0017,dcgm-gpu-node-07:9400,gpu-node-07,1,0.443,827,91,74
t0017,dcgm-gpu-node-08:9400,gpu-node-08,1,0.448,818,96,73
t0017,dcgm-gpu-node-09:9400,gpu-node-09,1,0.41,829,97,74
t0017,dcgm-gpu-node-10:9400,gpu-node-10,1,0.461,846,97,78
t0017,dcgm-gpu-node-11:9400,gpu-node-11,1,0.458,829,97,72
t0018,dcgm-gpu-node-00:9400,gpu-node-00,1,0.495,798,98,75
t0018,dcgm-gpu-node-01:9400,gpu-node-01,1,0.451,829,95,76
t0018,dcgm-gpu-node-02:9400,gpu-node-02,1,0.458,829,99,77
t0018,dcgm-gpu-node-03:9400,gpu-node-03,1,0.472,806,99,71
t0018,dcgm-gpu-node-04:9400,gpu-node-04,1,0.41,830,90,74
t0018,dcgm-gpu-node-05:9400,gpu-node-05,1,0.426,822,96,74
t0018,dcgm-gpu-node-06:9400,gpu-node-06,1,0.408,814,95,73
t0018,dcgm-gpu-node-07:9400,gpu-node-07,1,0.408,805,96,73
t0018,dcgm-gpu-node-08:9400,gpu-node-08,1,0.44,831,98,73
t0018,dcgm-gpu-node-09:9400,gpu-node-09,1,0.505,823,96,76
t0018,dcgm-gpu-node-10:9400,gpu-node-10,1,0.445,815,99,75
t0018,dcgm-gpu-node-11:9400,gpu-node-11,1,0.406,813,95,75
t0019,dcgm-gpu-node-00:9400,gpu-node-00,1,0.316,817,94,73
t0019,dcgm-gpu-node-01:9400,gpu-node-01,1,0.448,831,96,74
t0019,dcgm-gpu-node-02:9400,gpu-node-02,1,0.417,810,96,71
t0019,dcgm-gpu-node-03:9400,gpu-node-03,1,0.444,826,98,76
t0019,dcgm-gpu-node-04:9400,gpu-node-04,1,0.373,842,91,75
t0019,dcgm-gpu-node-05:9400,gpu-node-05,1,0.516,812,96,75
t0019,dcgm-gpu-node-06:9400,gpu-node-06,1,0.455,824,96,74
t0019,dcgm-gpu-node-07:9400,gpu-node-07,1,0.431,838,97,74
t0019,dcgm-gpu-node-08:9400,gpu-node-08,1,0.467,835,95,76
t0019,dcgm-gpu-node-09:9400,gpu-node-09,1,0.398,820,94,73
t0019,dcgm-gpu-node-10:9400,gpu-node-10,1,0.381,821,94,74
t0019,dcgm-gpu-node-11:9400,gpu-node-11,1,0.421,812,92,75
t0020,dcgm-gpu-node-00:9400,gpu-node-00,1,0.4,831,98,74
t0020,dcgm-gpu-node-01:9400,gpu-node-01,1,0.428,802,97,76
t0020,dcgm-gpu-node-02:9400,gpu-node-02,1,0.396,819,97,74
t0020,dcgm-gpu-node-03:9400,gpu-node-03,1,0.445,818,97,76
t0020,dcgm-gpu-node-04:9400,gpu-node-04,1,0.436,840,96,71
t0020,dcgm-gpu-node-05:9400,gpu-node-05,1,0.415,823,97,73
t0020,dcgm-gpu-node-06:9400,gpu-node-06,1,0.433,814,95,73
t0020,dcgm-gpu-node-07:9400,gpu-node-07,1,0.368,829,91,76
t0020,dcgm-gpu-node-08:9400,gpu-node-08,1,0.46,818,96,73
t0020,dcgm-gpu-node-09:9400,gpu-node-09,1,0.451,802,94,74
t0020,dcgm-gpu-node-10:9400,gpu-node-10,1,0.406,820,96,74
t0020,dcgm-gpu-node-11:9400,gpu-node-11,1,0.543,834,96,69
t0021,dcgm-gpu-node-00:9400,gpu-node-00,1,0.527,821,96,75
t0021,dcgm-gpu-node-01:9400,gpu-node-01,1,0.402,824,93,72
t0021,dcgm-gpu-node-02:9400,gpu-node-02,1,0.433,828,98,78
t0021,dcgm-gpu-node-03:9400,gpu-node-03,1,0.427,819,96,77
t0021,dcgm-gpu-node-04:9400,gpu-node-04,1,0.489,813,97,75
t0021,dcgm-gpu-node-05:9400,gpu-node-05,1,0.352,818,98,77
t0021,dcgm-gpu-node-06:9400,gpu-node-06,1,0.51,823,96,73
t0021,dcgm-gpu-node-07:9400,gpu-node-07,1,0.461,833,96,74
t0021,dcgm-gpu-node-08:9400,gpu-node-08,1,0.431,831,98,74
t0021,dcgm-gpu-node-09:9400,gpu-node-09,1,0.426,820,94,74
t0021,dcgm-gpu-node-10:9400,gpu-node-10,1,0.393,825,96,74
t0021,dcgm-gpu-node-11:9400,gpu-node-11,1,0.438,804,102,75
t0022,dcgm-gpu-node-00:9400,gpu-node-00,1,0.45,850,96,73
t0022,dcgm-gpu-node-01:9400,gpu-node-01,1,0.371,819,97,72
t0022,dcgm-gpu-node-02:9400,gpu-node-02,1,0.377,820,94,72
t0022,dcgm-gpu-node-03:9400,gpu-node-03,1,0.473,812,93,74
t0022,dcgm-gpu-node-04:9400,gpu-node-04,1,0.527,825,101,74
t0022,dcgm-gpu-node-05:9400,gpu-node-05,1,0.392,807,101,76
t0022,dcgm-gpu-node-06:9400,gpu-node-06,1,0.435,825,96,74
t0022,dcgm-gpu-node-07:9400,gpu-node-07,1,0.405,824,96,74
t0022,dcgm-gpu-node-08:9400,gpu-node-08,1,0.395,819,96,73
t0022,dcgm-gpu-node-09:9400,gpu-node-09,1,0.406,845,93,71
t0022,dcgm-gpu-node-10:9400,gpu-node-10,1,0.42,839,96,74
t0022,dcgm-gpu-node-11:9400,gpu-node-11,1,0.348,796,94,74
t0023,dcgm-gpu-node-00:9400,gpu-node-00,1,0.514,827,94,74
t0023,dcgm-gpu-node-01:9400,gpu-node-01,1,0.458,823,95,74
t0023,dcgm-gpu-node-02:9400,gpu-node-02,1,0.454,834,96,74
t0023,dcgm-gpu-node-03:9400,gpu-node-03,1,0.418,827,92,71
t0023,dcgm-gpu-node-04:9400,gpu-node-04,1,0.389,813,99,76
t0023,dcgm-gpu-node-05:9400,gpu-node-05,1,0.436,823,95,76
t0023,dcgm-gpu-node-06:9400,gpu-node-06,1,0.414,839,94,72
t0023,dcgm-gpu-node-07:9400,gpu-node-07,1,0.379,842,89,77
t0023,dcgm-gpu-node-08:9400,gpu-node-08,1,0.388,816,96,74
t0023,dcgm-gpu-node-09:9400,gpu-node-09,1,0.4,817,96,74
t0023,dcgm-gpu-node-10:9400,gpu-node-10,1,0.422,822,94,74
t0023,dcgm-gpu-node-11:9400,gpu-node-11,1,0.435,807,95,73
t0024,dcgm-gpu-node-00:9400,gpu-node-00,1,0.43,812,94,74
t0024,dcgm-gpu-node-01:9400,gpu-node-01,1,0.479,815,95,76
t0024,dcgm-gpu-node-02:9400,gpu-node-02,1,0.406,833,96,74
t0024,dcgm-gpu-node-03:9400,gpu-node-03,1,0.442,821,98,73
t0024,dcgm-gpu-node-04:9400,gpu-node-04,1,0.402,813,97,73
t0024,dcgm-gpu-node-05:9400,gpu-node-05,1,0.325,827,94,74
t0024,dcgm-gpu-node-06:9400,gpu-node-06,1,0.38,823,96,71
t0024,dcgm-gpu-node-07:9400,gpu-node-07,1,0.468,845,94,72
t0024,dcgm-gpu-node-08:9400,gpu-node-08,1,0.417,814,94,73
t0024,dcgm-gpu-node-09:9400,gpu-node-09,1,0.382,810,100,76
t0024,dcgm-gpu-node-10:9400,gpu-node-10,1,0.362,807,97,75
t0024,dcgm-gpu-node-11:9400,gpu-node-11,1,0.46,811,95,78
t0025,dcgm-gpu-node-00:9400,gpu-node-00,1,0.37,813,95,74
t0025,dcgm-gpu-node-01:9400,gpu-node-01,1,0.445,820,96,74
t0025,dcgm-gpu-node-02:9400,gpu-node-02,1,0.452,820,96,73
t0025,dcgm-gpu-node-03:9400,gpu-node-03,1,0.417,845,102,74
t0025,dcgm-gpu-node-04:9400,gpu-node-04,1,0.424,822,99,73
t0025,dcgm-gpu-node-05:9400,gpu-node-05,1,0.434,847,94,76
t0025,dcgm-gpu-node-06:9400,gpu-node-06,1,0.421,811,95,74
t0025,dcgm-gpu-node-07:9400,gpu-node-07,1,0.412,816,98,72
t0025,dcgm-gpu-node-08:9400,gpu-node-08,1,0.357,820,96,76
t0025,dcgm-gpu-node-09:9400,gpu-node-09,1,0.427,803,100,74
t0025,dcgm-gpu-node-10:9400,gpu-node-10,1,0.4,801,98,73
t0025,dcgm-gpu-node-11:9400,gpu-node-11,1,0.451,822,98,73
t0026,dcgm-gpu-node-00:9400,gpu-node-00,1,0.441,816,100,73
t0026,dcgm-gpu-node-01:9400,gpu-node-01,1,0.482,823,98,75
t0026,dcgm-gpu-node-02:9400,gpu-node-02,1,0.379,820,92,74
t0026,dcgm-gpu-node-03:9400,gpu-node-03,1,0.351,814,92,72
t0026,dcgm-gpu-node-04:9400,gpu-node-04,1,0.426,827,96,74
t0026,dcgm-gpu-node-05:9400,gpu-node-05,1,0.402,818,94,73
t0026,dcgm-gpu-node-06:9400,gpu-node-06,1,0.372,839,98,74
t0026,dcgm-gpu-node-07:9400,gpu-node-07,1,0.381,835,92,76
t0026,dcgm-gpu-node-08:9400,gpu-node-08,1,0.454,827,96,73
t0026,dcgm-gpu-node-09:9400,gpu-node-09,1,0.413,830,95,74
t0026,dcgm-gpu-node-10:9400,gpu-node-10,1,0.411,812,92,72
t0026,dcgm-gpu-node-11:9400,gpu-node-11,1,0.413,829,100,72
t0027,dcgm-gpu-node-00:9400,gpu-node-00,1,0.388,828,95,70
t0027,dcgm-gpu-node-01:9400,gpu-node-01,1,0.396,816,92,76
t0027,dcgm-gpu-node-02:9400,gpu-node-02,1,0.345,809,99,73
t0027,dcgm-gpu-node-03:9400,gpu-node-03,1,0.383,832,97,76
t0027,dcgm-gpu-node-04:9400,gpu-node-04,1,0.405,822,96,75
t0027,dcgm-gpu-node-05:9400,gpu-node-05,1,0.409,814,94,77
t0027,dcgm-gpu-node-06:9400,gpu-node-06,1,0.394,821,96,78
t0027,dcgm-gpu-node-07:9400,gpu-node-07,1,0.403,822,98,72
t0027,dcgm-gpu-node-08:9400,gpu-node-08,1,0.475,812,96,73
t0027,dcgm-gpu-node-09:9400,gpu-node-09,1,0.402,843,97,74
t0027,dcgm-gpu-node-10:9400,gpu-node-10,1,0.416,815,96,70
t0027,dcgm-gpu-node-11:9400,gpu-node-11,1,0.389,826,96,73
t0028,dcgm-gpu-node-00:9400,gpu-node-00,1,0.422,835,96,72
t0028,dcgm-gpu-node-01:9400,gpu-node-01,1,0.374,823,96,72
t0028,dcgm-gpu-node-02:9400,gpu-node-02,1,0.459,840,98,74
t0028,dcgm-gpu-node-03:9400,gpu-node-03,1,0.447,821,97,75
t0028,dcgm-gpu-node-04:9400,gpu-node-04,1,0.405,831,100,74
t0028,dcgm-gpu-node-05:9400,gpu-node-05,1,0.446,808,92,73
t0028,dcgm-gpu-node-06:9400,gpu-node-06,1,0.347,812,95,74
t0028,dcgm-gpu-node-07:9400,gpu-node-07,1,0.442,826,96,75
t0028,dcgm-gpu-node-08:9400,gpu-node-08,1,0.388,813,95,75
t0028,dcgm-gpu-node-09:9400,gpu-node-09,1,0.468,821,101,74
t0028,dcgm-gpu-node-10:9400,gpu-node-10,1,0.42,804,96,72
